Date,Product,Region,Quantity,Price,Revenue
2024-05-08,Smartwatch,East,5,300,1500
2024-03-26,Laptop,West,12,1200,14400
2024-11-28,Laptop,South,20,1200,24000
2024-09-03,Smartwatch,South,5,300,1500
2024-07-16,Tablet,East,12,500,6000
2024-07-05,Tablet,East,17,500,8500
2024-12-13,Tablet,West,15,500,7500
2024-01-24,Smartwatch,South,17,300,5100
2024-09-13,Laptop,East,15,1200,18000
2024-01-06,Phone,South,9,800,7200
2024-01-16,Phone,East,19,800,15200
2024-10-30,Laptop,East,19,1200,22800
2024-01-06,Tablet,South,1,500,500
2024-10-24,Laptop,West,12,1200,14400
2024-10-11,Headphones,West,11,150,1650
2024-06-21,Headphones,North,1,150,150
2024-08-23,Headphones,South,2,150,300
2024-05-30,Headphones,South,6,150,900
2024-08-17,Smartwatch,West,20,300,6000
2024-10-11,Phone,South,14,800,11200
2024-07-13,Smartwatch,East,3,300,900
2024-09-01,Smartwatch,West,7,300,2100
2024-01-19,Tablet,South,19,500,9500
2024-08-30,Headphones,North,10,150,1500
2024-03-16,Laptop,North,3,1200,3600
2024-12-28,Headphones,West,17,150,2550
2024-09-22,Laptop,North,1,1200,1200
2024-08-27,Laptop,West,13,1200,15600
2024-10-14,Phone,South,19,800,15200
2024-03-25,Tablet,North,4,500,2000
2024-01-09,Smartwatch,South,12,300,3600
2024-09-13,Laptop,North,16,1200,19200
2024-02-25,Headphones,West,2,150,300
2024-10-17,Phone,East,2,800,1600
2024-03-11,Phone,South,10,800,8000
2024-02-08,Headphones,North,16,150,2400
2024-12-16,Phone,West,16,800,12800
2024-12-05,Smartwatch,North,11,300,3300
2024-09-27,Headphones,East,4,150,600
2024-09-20,Phone,West,6,800,4800
2024-03-20,Phone,South,5,800,4000
2024-01-24,Laptop,East,3,1200,3600
2024-04-28,Laptop,North,4,1200,4800
2024-05-11,Smartwatch,North,19,300,5700
2024-10-20,Laptop,West,19,1200,22800
2024-01-25,Phone,West,8,800,6400
2024-01-28,Headphones,West,12,150,1800
2024-05-05,Phone,South,5,800,4000
2024-01-04,Laptop,West,9,1200,10800
2024-04-29,Phone,East,3,800,2400
2024-01-28,Tablet,North,19,500,9500
2024-11-06,Phone,East,16,800,12800
2024-06-12,Headphones,South,5,150,750
2024-03-25,Smartwatch,South,10,300,3000
2024-05-05,Phone,West,19,800,15200
2024-07-24,Headphones,North,13,150,1950
2024-07-17,Smartwatch,North,20,300,6000
2024-03-11,Phone,South,3,800,2400
2024-01-15,Smartwatch,West,12,300,3600
2024-08-29,Headphones,East,7,150,1050
2024-06-06,Laptop,North,17,1200,20400
2024-01-03,Smartwatch,West,4,300,1200
2024-07-01,Laptop,South,3,1200,3600
2024-07-31,Phone,South,16,800,12800
2024-09-23,Phone,North,10,800,8000
2024-06-26,Tablet,West,20,500,10000
2024-12-28,Headphones,North,8,150,1200
2024-09-06,Phone,South,1,800,800
2024-03-18,Laptop,South,19,1200,22800
2024-06-24,Headphones,West,6,150,900
2024-07-24,Tablet,North,18,500,9000
2024-09-05,Laptop,West,1,1200,1200
2024-09-30,Smartwatch,East,18,300,5400
2024-02-13,Tablet,East,11,500,5500
2024-02-14,Headphones,South,12,150,1800
2024-11-13,Smartwatch,East,6,300,1800
2024-07-26,Headphones,South,18,150,2700
2024-06-01,Smartwatch,West,3,300,900
2024-05-23,Headphones,East,15,150,2250
2024-07-18,Tablet,North,11,500,5500
2024-04-11,Laptop,South,1,1200,1200
2024-09-11,Headphones,North,3,150,450
2024-03-07,Headphones,North,8,150,1200
2024-01-18,Smartwatch,West,18,300,5400
2024-11-07,Phone,West,5,800,4000
2024-12-26,Tablet,East,3,500,1500
2024-02-07,Phone,North,3,800,2400
2024-05-16,Smartwatch,East,5,300,1500
2024-05-21,Laptop,West,17,1200,20400
2024-03-15,Phone,West,1,800,800
2024-03-18,Tablet,South,11,500,5500
2024-08-16,Laptop,West,6,1200,7200
2024-06-14,Tablet,South,18,500,9000
2024-04-08,Tablet,West,12,500,6000
2024-12-25,Phone,South,3,800,2400
2024-07-08,Phone,South,15,800,12000
2024-06-15,Tablet,South,10,500,5000
2024-08-07,Tablet,South,13,500,6500
2024-07-27,Phone,East,8,800,6400
2024-09-04,Smartwatch,North,8,300,2400
2024-10-27,Smartwatch,West,5,300,1500
2024-08-22,Laptop,West,7,1200,8400
2024-05-27,Laptop,West,10,1200,12000
2024-07-24,Tablet,West,2,500,1000
2024-08-08,Headphones,West,19,150,2850
2024-06-03,Smartwatch,East,7,300,2100
2024-10-03,Smartwatch,North,2,300,600
2024-10-09,Smartwatch,East,18,300,5400
2024-07-22,Tablet,East,15,500,7500
2024-06-17,Phone,West,11,800,8800
2024-03-31,Headphones,West,7,150,1050
2024-08-11,Tablet,South,14,500,7000
2024-11-09,Smartwatch,East,2,300,600
2024-06-26,Tablet,East,4,500,2000
2024-06-30,Phone,North,1,800,800
2024-08-25,Tablet,North,4,500,2000
2024-12-11,Smartwatch,South,20,300,6000
2024-10-24,Smartwatch,South,19,300,5700
2024-12-03,Headphones,West,9,150,1350
2024-01-14,Smartwatch,East,16,300,4800
2024-01-29,Tablet,North,12,500,6000
2024-11-24,Phone,West,7,800,5600
2024-09-14,Phone,South,19,800,15200
2024-11-09,Tablet,East,10,500,5000
2024-09-08,Headphones,North,4,150,600
2024-04-28,Smartwatch,East,6,300,1800
2024-01-25,Laptop,East,17,1200,20400
2024-01-02,Tablet,East,2,500,1000
2024-06-17,Smartwatch,South,11,300,3300
2024-02-17,Laptop,South,10,1200,12000
2024-02-08,Tablet,East,6,500,3000
2024-02-08,Phone,East,20,800,16000
2024-05-06,Smartwatch,South,19,300,5700
2024-12-07,Laptop,West,1,1200,1200
2024-04-20,Smartwatch,West,15,300,4500
2024-11-13,Smartwatch,East,12,300,3600
2024-01-10,Phone,East,12,800,9600
2024-06-29,Laptop,South,6,1200,7200
2024-07-12,Phone,East,4,800,3200
2024-03-19,Smartwatch,East,16,300,4800
2024-02-05,Smartwatch,West,15,300,4500
2024-03-08,Smartwatch,North,19,300,5700
2024-03-25,Smartwatch,South,1,300,300
2024-05-02,Headphones,North,1,150,150
2024-12-24,Smartwatch,East,17,300,5100
2024-05-28,Headphones,South,20,150,3000
2024-11-20,Headphones,North,12,150,1800
2024-05-23,Smartwatch,South,20,300,6000
2024-07-12,Laptop,North,7,1200,8400
2024-08-14,Phone,South,9,800,7200
2024-02-19,Tablet,South,12,500,6000
2024-11-30,Laptop,North,16,1200,19200
2024-04-17,Tablet,North,6,500,3000
2024-02-01,Phone,West,20,800,16000
2024-10-08,Tablet,West,1,500,500
2024-11-13,Phone,East,19,800,15200
2024-08-21,Smartwatch,East,10,300,3000
2024-04-11,Phone,South,15,800,12000
2024-02-03,Smartwatch,North,10,300,3000
2024-02-18,Smartwatch,South,16,300,4800
2024-08-05,Tablet,South,2,500,1000
2024-03-21,Phone,West,18,800,14400
2024-04-18,Smartwatch,South,9,300,2700
2024-10-01,Phone,North,11,800,8800
2024-07-05,Laptop,West,7,1200,8400
2024-05-12,Tablet,North,6,500,3000
2024-12-24,Tablet,East,1,500,500
2024-10-02,Phone,West,18,800,14400
2024-08-25,Headphones,West,20,150,3000
2024-04-24,Headphones,North,10,150,1500
2024-04-15,Headphones,East,8,150,1200
2024-04-26,Smartwatch,West,20,300,6000
2024-04-16,Headphones,East,4,150,600
2024-05-28,Headphones,North,20,150,3000
2024-07-24,Tablet,West,15,500,7500
2024-08-22,Tablet,South,5,500,2500
2024-01-22,Smartwatch,West,14,300,4200
2024-03-31,Tablet,East,7,500,3500
2024-04-23,Phone,North,8,800,6400
2024-10-01,Headphones,East,10,150,1500
2024-04-13,Headphones,West,14,150,2100
2024-01-13,Laptop,West,15,1200,18000
2024-02-23,Smartwatch,North,4,300,1200
2024-01-08,Laptop,South,15,1200,18000
2024-07-28,Smartwatch,North,19,300,5700
2024-12-24,Phone,South,10,800,8000
2024-07-18,Smartwatch,South,16,300,4800
2024-09-03,Headphones,East,15,150,2250
2024-11-13,Tablet,West,9,500,4500
2024-03-23,Phone,East,13,800,10400
2024-05-19,Smartwatch,West,6,300,1800
2024-01-30,Headphones,North,3,150,450
2024-08-28,Phone,West,17,800,13600
2024-04-01,Phone,North,7,800,5600
2024-04-14,Headphones,East,2,150,300
2024-04-06,Phone,North,17,800,13600
2024-04-18,Headphones,North,12,150,1800
2024-03-06,Tablet,North,15,500,7500
2024-01-30,Tablet,West,2,500,1000
2024-05-22,Tablet,South,10,500,5000
